site,x,y,coast,north,year,rec.period,rec.period2,night,species,obs,obs.min
2,347000,6704000,40.326013770079946,49.76340981801138,2019,3,3,2019-06-28,EPTNIL,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,3,3,2019-06-29,EPTNIL,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,4,4,2019-07-12,EPTNIL,9,7
2,347000,6704000,40.326013770079946,49.76340981801138,2019,4,4,2019-07-13,EPTNIL,20,9
2,347000,6704000,40.326013770079946,49.76340981801138,2019,5,5,2019-07-26,EPTNIL,9,7
2,347000,6704000,40.326013770079946,49.76340981801138,2019,5,5,2019-07-27,EPTNIL,21,12
2,347000,6704000,40.326013770079946,49.76340981801138,2019,6,6,2019-08-09,EPTNIL,3,3
2,347000,6704000,40.326013770079946,49.76340981801138,2019,6,6,2019-08-10,EPTNIL,36,25
2,347000,6704000,40.326013770079946,49.76340981801138,2019,7,7,2019-08-23,EPTNIL,82,45
2,347000,6704000,40.326013770079946,49.76340981801138,2019,7,7,2019-08-24,EPTNIL,6,6
2,347000,6704000,40.326013770079946,49.76340981801138,2019,8,8,2019-09-06,EPTNIL,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,8,8,2019-09-07,EPTNIL,1,1
2,347000,6704000,40.326013770079946,49.76340981801138,2019,9,9,2019-09-20,EPTNIL,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,9,9,2019-09-21,EPTNIL,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2020,10,1,2020-05-31,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,10,1,2020-06-01,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,11,2,2020-06-14,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,11,2,2020-06-15,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,12,3,2020-06-28,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,12,3,2020-06-29,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,13,4,2020-07-12,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,13,4,2020-07-13,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,14,5,2020-07-26,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,14,5,2020-07-27,EPTNIL,NA,NA
